STREET1,STREET2,1HASLANE,2HASLANE,BLFinal
Dorchester Avenue,Savin Hill Avenue,1.0,0.0,0
Bennington Street,Chelsea Street,1.0,1.0,0
Charles Street,Ditson Street,0.0,0.0,0
Devon Street,Blue Hill Avenue,0.0,1.0,0
Shirley Street,Clifton Street,0.0,0.0,0
Brighton Avenue,Saint Lukes Road,1.0,0.0,0
Harvard Avenue,Brighton Avenue,1.0,1.0,0
Main Street,SR 38,1.0,0.0,0
Commonwealth Avenue,Cummington Mall,1.0,0.0,0
South Huntington Avenue,Heath Street,1.0,0.0,0
George R. Visconti Road,Paris Street,0.0,0.0,0
Blossom Street,Cambridge Street,0.0,1.0,0
Beacon Street,Keswick Street,1.0,0.0,0
Commonwealth Avenue,Mountfort Street,1.0,0.0,1
Cambridge Street,Linden Street,1.0,0.0,0
Newbury Street,Dartmouth Street,0.0,1.0,0
Callender Street,Lauriat Street,0.0,0.0,0
West Broadway,D Street,0.0,1.0,0
Townsend Street,Warren Street,0.0,1.0,0
Brighton Avenue,Allston Street,1.0,0.0,0
Trinity Place,Saint James Avenue,0.0,0.0,0
Pilgrim Road,Short Street,0.0,0.0,0
Centre Street,Pond Street,1.0,0.0,0
Cambridge Street,Brighton Avenue,1.0,1.0,0
Blue Hill Avenue,River Street,1.0,1.0,0
Harrison Avenue,Massachusetts Avenue,1.0,1.0,0
Richfield Street,Columbia Terrace,0.0,0.0,0
Washington Street,Martin Luther King Boulevard,1.0,1.0,0
Boylston Street,Fairfield Street,1.0,0.0,0
Blue Hill Avenue,Georgia Street,1.0,0.0,0
Massachusetts Avenue,Washington Street,1.0,1.0,0
Dorchester Avenue,Congress Street,1.0,1.0,0
Hanover Street,Congress Street,0.0,1.0,0
Rutland Square,Public Alley 502,0.0,0.0,0
Massachusetts Avenue,Washington Street,1.0,1.0,0
Tremont Street,Massachusetts Avenue,0.0,1.0,0
Huntington Avenue,Fenwood Road,1.0,0.0,0
Irma Street,Arbutus Street,0.0,0.0,0
Harvard Street,Vesta Road,0.0,0.0,0
Washington Street,Worcester Street,1.0,0.0,0
Commonwealth Avenue,Amory Street,1.0,0.0,0
Morton Street,American Legion Highway,1.0,1.0,0
Harvard Avenue,Glenville Terrace,1.0,0.0,0
Harvard Street,Gleason Street,0.0,0.0,0
Centre Street,Pierre Lallement Bike Path,1.0,0.0,0
Huntington Avenue,Shepherd Avenue,1.0,0.0,0
South Bay Harbor Trail,Frontage Road,1.0,0.0,0
Massachusetts Avenue,Haviland Street,1.0,0.0,0
West Selden Street,Morton Street,0.0,1.0,0
Green Street,Washington Street,0.0,1.0,0
North Beacon Street,Arthur Street,0.0,0.0,0
Perkins Street,Pond View Avenue,1.0,0.0,0
Erie Street,Wolcott Street,0.0,0.0,0
Congress Street,North Street,1.0,0.0,0
East Broadway,K Street,0.0,0.0,0
Washington Street,Kneeland Street,1.0,0.0,0
Harrison Avenue,Eustis Street,1.0,0.0,0
Royal Street,Coolidge Road,0.0,0.0,0
Harrison Avenue,Kneeland Street,1.0,0.0,0
Sycamore Street,Hawthorne Street,0.0,0.0,0
Moreland Street,Montrose Street,0.0,0.0,0
Talbot Avenue,Whitfield Street,1.0,0.0,0
Southern Avenue,Millet Street,0.0,0.0,0
West Concord Street,Tremont Street,0.0,0.0,0
John F. Fitzgerald Expressway,Lincoln Street,0.0,0.0,0
Fisher Avenue,Estey Street,0.0,0.0,0
Cambridge Street,Sparhawk Street,1.0,0.0,0
Canterbury Street,Paine Street,0.0,0.0,0
Adams Street,Church Street,1.0,0.0,0
Marion Street,Eutaw Street,0.0,0.0,0
South Huntington Avenue,Heath Street,1.0,0.0,0
Hamlet Street,Columbia Road,0.0,1.0,0
Norwell Street,Rupert Street,0.0,0.0,0
Hudson Street,Harrison Avenue,0.0,1.0,0
Shirley Street,Clifton Street,0.0,0.0,0
Massachusetts Avenue,Columbus Avenue,1.0,1.0,0
Fairmount Avenue,Davison Street,0.0,0.0,0
North Harvard Street,Empire Street,1.0,0.0,0
Hyde Park Avenue,Glenwood Avenue,0.0,0.0,0
Kelton Street,Allston Street,0.0,0.0,0
Lorne Street,Wilbert Circle,0.0,0.0,0
Brook Avenue,West Cottage Street,0.0,0.0,0
Tremont Street,Northampton Street,0.0,0.0,0
Morton Street,Norfolk Street,1.0,0.0,0
Blue Hill Avenue,Rexford Street,1.0,0.0,0
Brooks Street,Bennington Street,0.0,1.0,0
Massachusetts Avenue,Boylston Street,1.0,1.0,0
Oakland Street,Thornton Street,0.0,1.0,0
Rutland Square,Columbus Avenue,0.0,1.0,1
Commonwealth Avenue,Crowninshield Road,1.0,0.0,0
Belvidere Street,Dalton Street,1.0,1.0,0
Westglow Street,Frost Avenue,0.0,0.0,0
Longwood Avenue,Brookline Avenue,0.0,1.0,0
Cornell Street,Washington Street,0.0,1.0,0
Cambridge Street,South Russell Street,1.0,0.0,0
Neponset Valley Parkway,Buckingham Street,0.0,0.0,0
Centre Street,Highland Avenue,1.0,0.0,0
Commonwealth Avenue,Cummington Mall,1.0,0.0,1
Northampton Street,Harrison Avenue,0.0,1.0,0
Harvard Avenue,Brainerd Road,1.0,0.0,0
Washington Street,Rossmore Street,1.0,0.0,0
Park Drive,Riverway,0.0,0.0,0
Dorchester Avenue,Hancock Street,1.0,0.0,0
Geneva Avenue,Vinson Street,0.0,0.0,0
Tremont Street,Saint Alphonsus Street,0.0,0.0,0
Boylston Street,Ipswich Street,1.0,0.0,0
Commonwealth Avenue,Buick Street,1.0,0.0,0
Evans Way,Fenway,0.0,0.0,0
Massachusetts Avenue,Public Alley 909,1.0,0.0,0
Dorchester Avenue,Fields Corner Station,1.0,0.0,0
Washington Street,Kneeland Street,1.0,0.0,0
Old Colony Avenue,Damrell Street,0.0,0.0,0
Blossom Street,Cambridge Street,0.0,1.0,0
Adams Street,Dorchester Avenue,1.0,1.0,0
Commonwealth Avenue,Carlton Street,1.0,0.0,1
Washington Street,Harvard Avenue,1.0,1.0,0
Columbus Avenue,West Springfield Street,1.0,0.0,1
Brighton Avenue,Linden Street,1.0,0.0,0
Boylston Street,Jersey Street,1.0,0.0,0
Clarkson Street,Trent Street,0.0,0.0,0
Dorchester Avenue,Columbia Road,1.0,1.0,0
Melnea Cass Boulevard,Massachusetts Avenue,0.0,1.0,0
Boylston Street,Charlesgate East,1.0,0.0,0
Columbus Avenue,West Canton Street,1.0,0.0,0
Huntington Avenue,Gainsborough Street,1.0,0.0,0
Commonwealth Avenue,Naples Road,1.0,0.0,0
Cunningham Street,Woodledge Street,0.0,0.0,0
Bowker Street,New Chardon Street,0.0,0.0,0
Call Street,Child Street,0.0,0.0,0
Mountfort Street,Commonwealth Avenue,0.0,1.0,0
Old Colony Avenue,Dorchester Street,0.0,0.0,0
Massachusetts Avenue,Marlborough Street,1.0,0.0,0
Commonwealth Avenue,SR 2,1.0,0.0,0
Leroy Street,Geneva Avenue,0.0,0.0,0
Albany Street,Northampton Street,1.0,0.0,0
Blackfan Street,Longwood Avenue,0.0,0.0,0
Cummins Highway,American Legion Highway,1.0,1.0,0
Centre Street,Boylston Street,1.0,1.0,0
Tremont Street,Stuart Street,0.0,1.0,0
Clarendon Street,Newbury Street,0.0,0.0,0
Park Drive,Buswell Street,0.0,0.0,0
Hemenway Street,Boylston Street,1.0,1.0,0
Glenway Street,Bradshaw Street,0.0,0.0,0
