STREET1,STREET2,1HASLANE,2HASLANE
Blue Hill Avenue,Donald Road,1,0
Keswick Street,Beacon Street,0,1
Blue Hill Avenue,Julian Street,1,0
Washington Street,Cobden Street,1,0
Hyde Park Avenue,River Street,0,1
Centre Street,Ginita Street,1,0
Massachusetts Avenue,Newmarket Square,1,0
Centre Street,Maple Street,1,0
Washington Street,Lyndhurst Street,1,0
Washington Street,New Washington Street,1,0
Morton Street,Catenaccia Way,1,0
Marlborough Street,Massachusetts Avenue,0,1
Boylston Street,Park Drive,1,0
Linden Street,Cambridge Street,0,1
Newbury Street,Arlington Street,0,1
Massachusetts Avenue,Tremont Street,1,0
North Harvard Street,Eatonia Street,1,0
Jersey Street,Boylston Street,0,1
Firth Road,Washington Street,0,1
Hyde Park Avenue,American Legion Highway,0,1
Commonwealth Avenue,SR 2,1,0
Cambridge Street,North Grove Street,1,0
Gordon Street,Cambridge Street,0,1
Washington Street,Perry Street,1,0
Central Avenue,River Street,0,1
Barrows Street,Cambridge Street,0,1
Berkeley Street,Commonwealth Avenue,0,1
Federal Street,Milk Street,0,1
Market Street,Gardena Street,1,0
Talbot Avenue,Whitfield Street,1,0
Centre Street,Barbara Street,1,0
Washington Street,Rutland Street,1,0
Blue Hill Avenue,Clifford Street,1,0
North Harvard Street,Morgan Way,1,0
Armandine Street,Washington Street,0,1
Massachusetts Avenue,Public Alley 908,1,0
Washington Street,Rollins Street,1,0
Forbes Street,Centre Street,0,1
David G. Mugar Way,Beacon Street,0,1
Bragdon Street,Columbus Avenue,0,1
Federal Street,High Street,0,1
South Street,Saint Rose Street,1,0
North Harvard Street,Empire Street,1,0
Staniford Street,Cambridge Street,0,1
Columbia Road,Intervale Street,1,0
Arlington Street,Saint James Avenue,1,0
Dorchester Avenue,Brookvale Street,1,0
Dorchester Avenue,Kimball Street,1,0
Brookline Avenue,Riverway,1,0
Linden Street,Dorchester Avenue,0,1
South Street,South Walter Street,1,0
Centre Street,Kingsboro Park,1,0
Windom Street,Cambridge Street,0,1
Lyndhurst Street,Washington Street,0,1
Boylston Street,Fairfield Street,1,0
Boylston Street,Yawkey Way,1,0
Western Avenue,Kelley Court,1,0
Frontenac Street,Blue Hill Avenue,0,1
Cambridge Street,Carter Street,1,0
Commercial Street,Hanover Street,1,0
Commonwealth Avenue,Saint Marys Street,1,0
Commonwealth Avenue,Gloucester Street,1,0
Huntington Avenue,Blagden Street,1,0
Warren Street,Whiting Street,1,0
Exeter Street,Massachusetts Turnpike,1,0
Congress Street,State Street,1,0
Cambridge Street,Sparhawk Street,1,0
South Street,Jamaica Street,1,0
Brighton Avenue,Allston Street,1,0
Blue Hill Avenue,Geneva Avenue,1,0
Washington Street,Worcester Street,1,0
Beacon Street,Gloucester Street,1,0
Spurr Street,Western Avenue,0,1
Harrison Avenue,Dudley Street,1,0
A Street,Necco Court,1,0
Brookline Avenue,Overland Street,1,0
Babcock Street,Commonwealth Avenue,0,1
Dartmouth Street,Newbury Street,1,0
D Street,West Fourth Street,1,0
Cunard Street,Columbus Avenue,0,1
Commonwealth Avenue Frontage Road Wb,Fordham Road,1,0
Market Street,Henshaw Street,1,0
Rosedale Street,Washington Street,0,1
Centre Street,Westerly Street,1,0
Back Street,Massachusetts Avenue,0,1
Harrison Avenue,Waltham Street,1,0
Harvard Avenue,Harvard Street,1,0
Northampton Street,Harrison Avenue,0,1
Massachusetts Avenue,Saint Botolph Street,1,0
Bowdoin Street,Cambridge Street,0,1
Harvard Avenue,Glenville Avenue,1,0
Western Avenue,Telford Street,1,0
Albany Street,Melnea Cass Boulevard,1,0
Clifford Street,Warren Street,0,1
Cambridge Street,Joy Street,1,0
Summer Street,High Street,0,1
Humboldt Avenue,Walnut Avenue,0,1
Columbus Avenue,West Newton Street,1,0
Dorchester Avenue,Bay Street,1,0
Tremont Street,Stuart Street,0,1
Yawkey Way,Brookline Avenue,0,1
