COUNT,ST_NAM,LENGTH
1,Jess Street,232.71981499999998
1,Washington Street Place,508.06992199999996
1,Saunders Street,845.9486469999999
1,Puritan Avenue,1010.115178
1,Court Street,482.803778
1,Mapleton Street,1186.516458
1,Savin Hill Avenue,6945.615081999998
1,Clarkson Street,1738.6821179999997
1,Lamson Street,945.7513250000001
1,Waldeck Street,1969.069158
1,Arlington Street,8192.595991
1,Bay State Road,4932.902613
1,Crawford Street,3671.7093430000004
1,Franklin Street,6004.540467
1,Chestnut Avenue,4748.296203999999
1,Tebroc Street,246.888648
1,Cobden Street,972.384321
1,Winship Street,1460.93449
1,Fawndale Road,1230.376437
1,Deering Road,1478.6451509999997
1,Windom Street,967.717714
1,Welles Avenue,2288.999234
1,Wainwright Street,863.2612529999999
1,Pierce Street,2034.5877580000001
1,Burney Street,314.71571600000004
1,Harmony Street,257.341863
1,Corinth Street,770.3037410000001
1,Harold Street,3152.1141310000003
1,Day Square,343.795508
1,Atkinson Street,913.376827
1,Leroy Street,770.338933
1,Cushing Avenue,2389.517457
1,Kenmore Street,486.80797
1,Forbes Street,1439.6901699999999
1,Mount Vernon Street,14043.019439
1,Ashburton Place,576.352337
1,Walnut Avenue,7388.116647000003
1,Cornell Street,5313.492756999999
1,Babcock Street,1119.107805
1,Alford Street,6501.521198000001
1,Walk Hill Street,9387.244879
1,Lenox Street,2627.554052
1,Magnolia Street,3716.668239
1,Fisher Avenue,3132.350352
1,Ashford Street,2571.4362899999996
1,Babbitt Street,421.401172
1,Dickinson Road,467.92869
1,Irma Street,624.158089
1,Margaretta Drive,1588.2848060000001
1,Spurr Street,331.668445
1,Mason Street,958.8138670000001
1,Eldridge Road,1015.304212
1,Langley Road,1309.9978820000001
1,Spencer Street,2232.972773
1,Mountain Avenue,1230.818669
1,Marion Street,4113.167001999999
1,Somerset Street,986.3224070000001
1,Brook Avenue,1705.769996
1,Silber Way,582.1594869999999
1,Lonsdale Street,1690.466249
1,Bellevue Street,6592.791061999999
1,Coventry Street,381.228898
1,Rutland Street,1228.39313
1,Wachusett Street,4610.020314000001
1,Poplar Street,8239.181708
1,Louis Prang Street,669.5261409999999
1,Normandy Street,3145.2582030000003
1,Granby Street,519.806374
1,Wales Street,2254.2362980000003
1,Commercial Street,4872.716699999999
1,Prince Street,5450.022446999999
1,Davenport Street,413.25885100000005
1,Hammond Street,1190.789971
1,Townsend Street,3676.956957
1,West Roxbury Parkway,15048.528109
1,Elm Hill Avenue,2584.903157
1,Temple Street,6401.457825999999
1,Mascoma Street,628.397178
1,Wayland Street,1725.738057
1,Warner Street,859.7620039999999
1,Bragdon Street,1249.874088
1,Craftsman Street,252.11222
1,Higgins Street,733.375275
1,Dearborn Street,589.5789080000001
1,Norfolk Avenue,3776.985895
1,Common Street,500.425996
1,Calumet Street,3019.18847
1,Austin Street,8904.870476
1,Chapman Place,323.9382
1,Central Street,812.538609
1,Verona Street,358.29082400000004
1,Clifford Street,2846.312175
1,Seaverns Avenue,1581.735864
1,Frontenac Street,512.511692
1,Knoll Street,1608.4608790000002
1,Harcourt Street,623.4435959999998
1,Middleton Street,861.798374
1,Murray Hill Road,819.147645
1,Washburn Street,714.583677
1,Royal Street,775.421135
1,Chatham Street,642.6330549999999
1,Victory Road,3354.1567379999997
1,Westminster Street,3459.7241929999996
1,Winthrop Street,5095.039978000001
1,Balfour Street,366.045999
1,Batterymarch Street,852.0953790000001
1,Starr Lane,811.914923
1,Concord Square,1349.610524
1,New Washington Street,1565.398657
1,Harris Avenue,674.300599
1,L Street,2904.05313
1,Thornton Street,2463.1973199999998
1,Cunard Street,365.801288
1,Armandine Street,1435.205926
1,Walden Street,1206.864458
1,Rosedale Street,812.391766
1,Porter Street,4798.999003000001
1,Minton Street,466.62750600000004
1,Tonawanda Street,1892.795521
1,Greenwich Street,1442.367909
1,Sleeper Street,1093.6507980000001
1,Lincoln Street,8633.366021
1,Riverdale Street,700.610624
1,Carmel Street,294.269975
1,India Street,958.372075
1,Summit Avenue,1254.9700949999997
1,Centre Place,341.189963
1,Lubec Street,588.580218
1,Burrage Street,175.43573500000002
1,Annunciation Road,1297.50917
1,Chestnut Street,4511.3094599999995
1,Willoughby Street,577.74982
1,Mount Hope Street,2351.307768
1,Richfield Street,1895.002337
1,Georgia Street,1176.462121
1,Gore Street,268.65698
1,New Chardon Street,2199.3637770000005
1,Life Street,606.548063
1,Lyndhurst Street,1290.358695
1,Mattapan Street,1872.1857980000002
1,Brainerd Road,1860.444725
1,Napa Street,475.37980899999997
1,Flaherty Way,1114.732975
1,Rockvale Circle,518.529043
1,Father Herlihy Drive,274.813134
1,Redwood Street,322.860299
1,Malcolm X Boulevard,3768.86542
1,Savin Street,1316.779935
1,Belgrade Avenue,5778.740081
1,Bowker Street,294.882742
1,Blandford Mall,306.129502
1,Glenway Street,2570.880587
1,Seattle Street,1192.171202
1,Clipper Ship Lane,476.094363
1,Lorne Street,667.441694
1,Kenrick Street,2693.2033810000003
1,Page Street,437.807896
1,Elmer Road,2001.43112
1,Sydney Street,3910.663945
1,Lindall Street,567.81494
1,Call Street,955.78144
1,Jersey Street,1056.277349
1,Silver Street,3254.1938509999995
1,Central Avenue,3503.2517379999995
1,Batchelder Street,1096.85069
1,Prescott Street,6786.050803
1,American Legion Highway,28987.561898000007
1,Brookway Road,1672.847859
