FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Network,InstallDat,ExisFacil,Rec1,Rec2,Road,Divided,CurbtoCurb,KeyBus,LengthMi,BikeInvent,RoadSegmen,Spine,TravelLane,OneWay,WorkplanDa,Agent,Designer,EngStatus,ProjectedI,FiveYearPl,Shape_Leng
664,740,Veterans Of Foreign Wars Parkway,6288900,2,3,1,2013,SLM,SUP, ,1,1,0,0,0.049825,0,6288900,1,3,FT,0,Boston Bikes,TDG,0,0,0,80.185276
665,330,Morton Street,5867400,2,1,1,2013,BFBL,CT1-1, ,1,1,33,0,0.01109,0,5867400,1,2,FT,0,MassDOT,TDG,0,0,0,17.846936
666,928,Main Street,5418600,5,2,1,2012,BL, , ,1,0,30,0,0.03035,0,5418600,0,1,FT,0,Boston Bikes,TDG,0,0,0,48.843494
667,331,American Legion Highway,6271400,5,2,1,2008,BL,CT1-1, ,1,1,0,0,0.083259,0,6271400,0,2,FT,0,BPWD,AECOM,0,0,0,133.992251
668,741,Veterans Of Foreign Wars Parkway,6238900,2,3,1,2013,BL,SUP, ,1,1,0,0,0.048044,0,6238900,1,2,FT,0,Boston Bikes,TDG,0,0,0,77.320041
669,929,City Square,5820700,5,2,1,2012,BL, , ,1,0,0,0,0.019406,0,5820700,0,1,FT,0,Boston Bikes,TDG,0,0,0,31.231085
670,332,American Legion Highway,5630300,5,2,1,2008,BL,CT1-1, ,1,1,0,0,0.199348,0,5630300,0,2,FT,0,BPWD,AECOM,0,0,0,320.82022
671,930,City Square,5581601,5,1,1,2012,BL, , ,1,0,0,0,0.014525,0,5581601,0,1,FT,0,Boston Bikes,TDG,0,0,0,23.375095
672,742,Beacon Street,5357800,3,2,1,2009,BL,CT2-1, ,1,0,0,0,0.034262,0,5357800,0,3,B,0,Boston Bikes,TDG,0,0,0,55.139043
673,333,Pierpoint Road,6211400,5,2,1,2009,BL, , ,1,1,0,0,0.067111,0,6211400,0,1,FT,0,Boston Bikes,TDG,0,0,0,108.005177
674,931,Main Street,5231700,5,2,1,2012,BL, , ,1,0,30,0,0.019992,0,5231700,0,1,FT,0,Boston Bikes,TDG,0,0,0,32.174629
675,743, ,6199000,0,2,1,2010,BL, , ,1,0,0,0,0.022976,0,6199000,0,1,FT,0,Boston Bikes,TDG,0,0,0,36.976319
676,932,Dexter Row,5830500,5,2,1,2012,BL, , ,1,0,0,0,0.049304,0,5830500,0,1,FT,0,Boston Bikes,TDG,0,0,0,79.346812
677,334,Walnut Avenue,5750000,6,2,1,2011,SLM, , ,1,0,0,0,0.033577,0,5750000,0,2,B,0,Boston Bikes,TDG,0,0,0,54.037744
678,744,Washington Street,5819700,3,2,1,2010,BL, , ,1,0,0,1,0.014705,0,5819700,0,2,B,0,Boston Bikes,TDG,0,0,0,23.664836
679,933,Ashmont Street,4877900,5,2,1,2013,SLM, , ,1,0,28,0,0.024822,0,4877900,0,2,B,0,PWD Highway,TDG,0,0,0,39.947894
680,745,Washington Street,5799300,3,2,1,2010,BL, , ,1,0,0,1,0.060996,0,5799300,0,2,B,0,Boston Bikes,TDG,0,0,0,98.164089
681,335,Perkins Street,6288700,5,2,1,2010,SLM,BL, ,1,1,0,0,0.015123,0,6288700,0,1,FT,0,Boston Bikes,TDG,0,0,0,24.338654
682,934,Adams Street,5343000,5,2,1,2013,SLM, , ,1,0,0,0,0.045033,0,5343000,0,0,B,0,Boston Bikes,TDG,0,0,0,72.473949
683,746,Veterans Of Foreign Wars Parkway,6212300,2,3,1,2013,SLM,SUP, ,1,1,0,0,0.082472,0,6212300,1,3,FT,0,Boston Bikes,TDG,0,0,0,132.72559
684,336,Centre Street,5827900,5,2,1,2010,SLM,BL, ,1,1,0,0,0.036317,0,5827900,0,1,FT,0,Boston Bikes,TDG,0,0,0,58.446234
685,935,Neponset Avenue,4801200,5,2,1,2012,BL, , ,1,0,0,0,0.057772,0,4801200,0,2,B,0,Boston Bikes,TDG,0,0,0,92.975127
686,747,Market Street,4488700,5,2,1,2013,BL, , ,1,0,46,0,0.068639,0,4488700,0,2,B,0,Developer,TDG,25,2013,1.1,110.464759
687,337,Centre Street,4641500,5,2,1,2010,SLM,BL, ,1,0,0,0,0.043936,0,4641500,0,2,B,0,Boston Bikes,TDG,0,0,0,70.709056
688,936,Dorchester Avenue,5687000,3,2,1,2011,SLM, , ,1,0,0,0,0.022692,0,5687000,0,2,B,0,MassDOT,HSH,0,0,0,36.518839
689,748,Beacon Street,5248700,3,2,1,2009,BL,CT2-1, ,1,0,0,0,0.285105,0,5248700,0,2,B,0,Boston Bikes,TDG,0,0,0,458.833225
690,937,Adams Street,4787300,5,2,1,2013,SLM, , ,1,0,0,0,0.041886,0,4787300,0,2,B,0,Boston Bikes,TDG,0,0,0,67.409411
691,338,Centre Street,4639300,5,2,1,2010,SLM,BL, ,1,0,0,0,0.014894,0,4639300,0,2,B,0,Boston Bikes,TDG,0,0,0,23.969356
692,938,Dorchester Avenue,4595900,3,2,1,2011,BL, , ,1,0,0,0,0.036767,0,4595900,0,2,B,0,MassDOT,HSH,0,0,0,59.170181
693,749,Commonwealth Avenue,6227000,3,2,1,2013,BL,CT1-1,BL,1,1,0,0,0.159823,0,6227000,1,2,FT,0,Boston Bikes,TDG,0,0,0,257.210612
694,339,South Huntington Avenue,5127800,5,2,1,2010,SLM, , ,1,0,0,1,0.07262,0,5127800,0,4,B,0,Boston Bikes,TDG,0,0,0,116.870175
695,939,D Street,4574300,5,2,1,2013,SLM, , ,1,0,33,0,0.027575,0,4574300,0,2,B,0,Boston Bikes,TDG,0,0,0,44.377323
